horizontal,vertical,direction
center,center,horizontal
right,top,horizontal
right,top,vertical
right,center,vertical
right,bottom,vertical
right,bottom,horizontal
center,bottom,horizontal
left,bottom,horizontal
left,bottom,vertical
left,center,vertical
left,top,vertical
left,top,horizontal
center,top,horizontal
right,top,vertical
right,top,horizontal
right,center,horizontal
right,bottom,horizontal
right,bottom,vertical
center,bottom,vertical
left,bottom,vertical
left,bottom,horizontal
left,center,horizontal
left,top,horizontal
left,top,vertical
center,top,vertical
center,center,vertical
